site,site_name,plot,year,survey_round,survey_date,treat_cont,start,point,minute,species,distance,how,sex,visual,migrating,cluster_size,cluster_code
5b,sm_cont,5b1,2014,1,6/17/2014,c,0600,1,1,moch,20,c,,n,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,1,heth,85,s,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,1,wewp,32,c,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,1,moch,25,c,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,1,yrwa,34,s,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,1,cofl,40,cs,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,2,yrwa,22,s,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,3,stja,44,c,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,4,wewp,60,c,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,4,yrwa,38,c,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,5,rcki,50,s,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,6,hawo,60,c,,,,,
5b,sm_cont,5b1,2014,1,6/17/2014,c,,1,6,pisi,45,c,,,,,
5b,sm_cont,5b,2014,1,6/17/2014,c,,,88,btlh,NA,o,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,0628,2,1,yrwa,46,s,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,1,yrwa,37,s,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,1,yrwa,66,s,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,1,cofl,50,c,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,1,deju,52,s,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,1,rcki,45,s,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,2,rcki,70,s,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,2,moch,47,c,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,2,deju,34,c,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,2,rbnu,36,c,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,3,rcki,53,s,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,4,wewp,48,c,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,4,moch,35,c,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,5,rcki,26,c,,y,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,5,pisi,45,c,,,,,
5b,sm_cont,5b2,2014,1,6/17/2014,c,,2,6,yrwa,64,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,0652,3,1,amro,50,c,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,1,wewp,48,c,,y,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,1,rcki,45,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,1,deju,30,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,1,yrwa,32,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,1,amro,46,v,u,y,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,1,wavi,42,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,2,wewp,56,c,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,2,deju,47,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,2,amro,51,v,,y,,2,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,3,evgr,51,v,m,y,,1,a
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,3,evgr,51,v,f,y,,1,a
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,3,evgr,56,c,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,4,deju,54,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,5,moch,39,c,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,5,moch,51,v,u,y,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,6,yrwa,55,s,u,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,6,pisi,50,c,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,6,deju,66,s,,,,,
5b,sm_cont,5b3,2014,1,6/17/2014,c,,3,6,yrwa,35,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,0724,4,1,heth,110,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,1,deju,42,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,1,yrwa,35,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,1,rcki,32,c,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,1,rcki,60,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,2,amro,58,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,2,moch,54,c,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,3,wewp,46,c,,y,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,4,yrwa,49,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,5,deju,70,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,5,gcki,28,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,6,yrwa,63,s,,,,,
5b,sm_cont,5b4,2014,1,6/17/2014,c,,4,6,heth,17,v,,y,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,0752,5,1,pisi,45,c,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,1,yrwa,43,s,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,1,rcki,90,s,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,1,yrwa,37,s,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,1,yrwa,50,s,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,1,pisi,38,c,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,2,pisi,40,c,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,2,moch,39,c,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,3,nobi,NA,NA,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,4,yrwa,35,s,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,4,graj,76,c,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,5,nobi,NA,NA,,,,,
5b,sm_cont,5b5,2014,1,6/17/2014,c,,5,6,nobi,NA,NA,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,0817,6,1,weta,53,c,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,1,heth,80,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,1,rcki,48,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,1,yrwa,40,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,1,deju,55,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,2,deju,38,c,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,2,howr,57,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,2,brcr,44,v,,y,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,3,rcki,72,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,4,yrwa,56,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,4,deju,60,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,4,rcki,34,c,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,5,howr,41,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,5,wavi,62,s,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,6,rbnu,50,c,,,,,
5b,sm_cont,5b6,2014,1,6/17/2014,c,,6,6,moch,60,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,0848,7,1,deju,40,s,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,1,howr,45,s,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,1,wavi,50,s,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,1,yrwa,36,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,2,wewp,47,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,2,rbnu,53,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,3,rbnu,63,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,3,yrwa,51,s,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,4,moch,39,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,4,graj,58,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,5,resq,50,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,5,deju,54,s,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,6,stja,37,v,,y,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,6,pisi,49,c,,,,,
5b,sm_cont,5b7,2014,1,6/17/2014,c,,7,6,rcki,60,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,0916,8,1,howr,32,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,howr,29,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,rcki,47,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,deju,30,c,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,yrwa,51,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,1,howr,27,c,,y,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,2,deju,41,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,2,deju,60,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,2,heth,20,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,3,weta,20,v,f,y,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,4,pisi,54,c,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,5,pisi,19,c,,,,2,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,5,yrwa,46,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,weta,52,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,weta,21,v,m,y,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,wavi,62,s,,,,,
5b,sm_cont,5b8,2014,1,6/17/2014,c,,8,6,resq,30,c,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,0945,9,1,ssha,28,v,,y,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,moch,31,c,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,cofl,26,c,,y,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,rcki,43,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,deju,62,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,1,yrwa,50,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,2,deju,57,s,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,2,rbnu,57,c,,,,,
5b,sm_cont,5b9,2014,1,6/17/2014,c,,9,3,deju,72,s,,,,,
