site,site_name,plot,year,treat_cont,species,snag_dbh,stump_dbh,tree_dbh,status,crwn_ratio,core_outsideplot
5a,sm_treat,5a1,2014,t,pien,,,48,li,90,
5a,sm_treat,5a1,2014,t,pien,,,45,li,60,
5a,sm_treat,5a1,2014,t,abla,,,24,li,90,
5a,sm_treat,5a1,2014,t,pien,,61,,u,,
5a,sm_treat,5a1,2014,t,pien,,58,,u,,
5a,sm_treat,5a1,2014,t,abla,,,11,li,80,
5a,sm_treat,5a1,2014,t,abla ,,,39,li,40,
5a,sm_treat,5a1,2014,t,abla,,,10,li,30,
5a,sm_treat,5a1,2014,t,abla,,,13,li,70,
5a,sm_treat,5a1,2014,t,abla,,,6,li,40,
5a,sm_treat,5a1,2014,t,pien,,,38,li,80,
5a,sm_treat,5a1,2014,t,abla,,,4,li,25,
5a,sm_treat,5a1,2014,t,abla,,,10,li,90,
5a,sm_treat,5a1,2014,t,abla,,,9,li,50,
5a,sm_treat,5a1,2014,t,abla,,,12,li,90,
5a,sm_treat,5a1,2014,t,abla,,,18,li,95,
5a,sm_treat,5a1,2014,t,abla,,,30,li,50,
5a,sm_treat,5a1,2014,t,pien,,,32,i,90,
5a,sm_treat,5a1,2014,t,pien ,,41,,u,,
5a,sm_treat,5a1,2014,t,pien,,,33,li,60,
5a,sm_treat,5a1,2014,t,abla,,,6,li,30,
5a,sm_treat,5a1,2014,t,pien,,,22,li,40,y
5a,sm_treat,5a1,2014,t,abla,,,4,li,40,
5a,sm_treat,5a1,2014,t,pien,,,43,li,80,y
5a,sm_treat,5a1,2014,t,pien,,,19,li,70,y
5a,sm_treat,5a1,2014,t,pien ,,,62,li,60,y
5a,sm_treat,5a1,2014,t,pien,,,59,li,70,y
5a,sm_treat,5a1,2014,t,pien,,,13,li,50,y
5a,sm_treat,5a1,2014,t,pien,,60,,u,,y
5a,sm_treat,5a1,2014,t,pien,,,24,li,65,
5a,sm_treat,5a2,2014,t,pien,,,23,li,45,
5a,sm_treat,5a2,2014,t,abla,,,24,li,40,
5a,sm_treat,5a2,2014,t,pien,,,46,li,50,
5a,sm_treat,5a2,2014,t,pien,,44,,u,,
5a,sm_treat,5a2,2014,t,pien,,40,,u,,
5a,sm_treat,5a2,2014,t,pien,,,41,li,75,
5a,sm_treat,5a2,2014,t,pien,,,38,li,75,
5a,sm_treat,5a2,2014,t,pien,,,23,li,35,
5a,sm_treat,5a2,2014,t,pien,,,17,li,15,
5a,sm_treat,5a2,2014,t,abla,,,17,li,20,
5a,sm_treat,5a2,2014,t,pien,,68,,u,,
5a,sm_treat,5a2,2014,t,pien,,,57,li,4,y
5a,sm_treat,5a2,2014,t,abla,,,26,li,60,
5a,sm_treat,5a2,2014,t,pien,,76,,u,,
5a,sm_treat,5a2,2014,t,abla,,,7,li,90,
5a,sm_treat,5a2,2014,t,abla,,,4,li,20,
5a,sm_treat,5a2,2014,t,pien,,23,,u,,
5a,sm_treat,5a2,2014,t,pien,,48,,u,,
5a,sm_treat,5a2,2014,t,pien,,50,,u,,
5a,sm_treat,5a2,2014,t,pien,,44,,u,,
5a,sm_treat,5a2,2014,t,abla,,,35,li,50,
5a,sm_treat,5a2,2014,t,abla,,10,,u,,
5a,sm_treat,5a2,2014,t,pien,,,18,li,40,
5a,sm_treat,5a2,2014,t,pien,,,36,li,60,
5a,sm_treat,5a2,2014,t,abla,,,24,li,40,
5a,sm_treat,5a2,2014,t,pien,,,57,de,,
5a,sm_treat,5a2,2014,t,pien,,,24,li,50,y
5a,sm_treat,5a2,2014,t,pien,,,14,li,40,
5a,sm_treat,5a3,2014,t,pien,,,41,li,80,
5a,sm_treat,5a3,2014,t,abla,,,7,li,80,
5a,sm_treat,5a3,2014,t,abla,,,22,tw,,
5a,sm_treat,5a3,2014,t,pien,,,13,tw,,
5a,sm_treat,5a3,2014,t,abla,,,9,li,40,
5a,sm_treat,5a3,2014,t,pien,,,38,li,60,
5a,sm_treat,5a3,2014,t,pien,,,27,li,80,
5a,sm_treat,5a3,2014,t,abla,,,6,li,20,
5a,sm_treat,5a3,2014,t,abla,,,16,li,60,
5a,sm_treat,5a3,2014,t,pien,,,6,li,30,
5a,sm_treat,5a3,2014,t,abla,,,11,nd,,
5a,sm_treat,5a3,2014,t,abla,18,,,sn,,
5a,sm_treat,5a3,2014,t,abla,,,17,li,80,
5a,sm_treat,5a3,2014,t,pien,,,15,li,50,
5a,sm_treat,5a3,2014,t,pien,,,13,li,50,
5a,sm_treat,5a3,2014,t,pien,60,,,sn,,
5a,sm_treat,5a3,2014,t,pien,,,15,li,50,
5a,sm_treat,5a3,2014,t,pien,,,11,li,40,
5a,sm_treat,5a3,2014,t,pien,,,23,li,30,
5a,sm_treat,5a3,2014,t,pien,,,36,li,60,y
5a,sm_treat,5a3,2014,t,pien,,,27,li,75,
5a,sm_treat,5a3,2014,t,abla,,,6,li,80,
5a,sm_treat,5a3,2014,t,abla,,,7,li,60,
5a,sm_treat,5a3,2014,t,pien,,,39,li,40,
5a,sm_treat,5a3,2014,t,abla,,,14,nd,,
5a,sm_treat,5a3,2014,t,abla,,,12,li,60,
5a,sm_treat,5a3,2014,t,abla,,,7,li,80,
5a,sm_treat,5a3,2014,t,pien,,44,,u,,
5a,sm_treat,5a3,2014,t,pien,,,33,de,,
5a,sm_treat,5a3,2014,t,pien,,,27,li,40,
5a,sm_treat,5a3,2014,t,abla,,,15,li,50,
5a,sm_treat,5a3,2014,t,pien,,,58,li,70,
5a,sm_treat,5a3,2014,t,abla,,,21,li,20,
5a,sm_treat,5a3,2014,t,pien,,,62,li,90,
5a,sm_treat,5a3,2014,t,pien,,40,,u,,
5a,sm_treat,5a3,2014,t,pien,,,47,li,40,
5a,sm_treat,5a3,2014,t,pien,,,34,li,80,y
5a,sm_treat,5a3,2014,t,pien,,,52,li,40,
5a,sm_treat,5a3,2014,t,pien,,,46,li,40,
5a,sm_treat,5a4,2014,t,pien,,,36,li,35,y
5a,sm_treat,5a4,2014,t,pien,,,37,li,50,y
5a,sm_treat,5a4,2014,t,pien,,,45,li,70,y
5a,sm_treat,5a4,2014,t,pien,,,25,li,45,y
5a,sm_treat,5a4,2014,t,pien,,,21,li,80,y
5a,sm_treat,5a4,2014,t,pien,,,18,li,50,y
5a,sm_treat,5a4,2014,t,pien,,,26,li,85,y
5a,sm_treat,5a4,2014,t,pien,,,31,li,40,y
5a,sm_treat,5a4,2014,t,pien,,,17,li,45,
5a,sm_treat,5a4,2014,t,pien,,36,,u,,
5a,sm_treat,5a4,2014,t,pien,,62,,u,,
5a,sm_treat,5a4,2014,t,pien,,39,,u,,
5a,sm_treat,5a4,2014,t,pien,,31,,u,,
5a,sm_treat,5a4,2014,t,pien,,53,,u,,
5a,sm_treat,5a4,2014,t,pien,,27,,u,,
5a,sm_treat,5a4,2014,t,pien,,36,,u,,
